29.8,58.8,22.0,50.0,30.0,60.0,30.0,40.0,41.4,63.0,20.0,86.8,40.0,56.0,19.6,48.0,30.0,21.6,50.4,40.0
45.6,15.6,70.0,30.0,13.6,50.4,40.0,111.6,23.2,178.6,113.0,103.0,22.0,50.0,20.8,55.2,30.2,60.0,0.0,59.2
85.6,62.8,59.0,36.0,40.0,90.4,43.2,97.8,28.4,20.0,67.2,58.4,69.4,40.2,20.0,92.4,108.0,59.6,26.4,56.2
14.6,89.2,32.8,13.2,93.0,25.8,50.0,25.0,81.0,19.6,50.0,15.6,56.4,27.2,40.8,11.6,86.4,50.0,92.8,104.0
65.2,63.2,30.8,53.4,30.8,7.4,119.4,37.2,54.2,41.6,35.4,112.4,44.8,31.6,35.6,84.4,16.4,57.4,46.0,30.0
70.8,108.0,59.4,48.4,40.0,49.2,97.2,33.2,20.0,71.2,30.8,108.6,75.2,53.2,34.0,40.0,20.8,24.8,68.4,62.2
114.0,90.2,83.4,46.4,89.0,45.8,34.2,58.4,30.8,50.0,40.0,17.2,75.8,31.6,59.2,41.6,67.6,131.0,36.0,71.0
40.8,74.8,56.0,71.6,20.0,40.0,101.6,106.2,30.0,137.2,53.4,32.4,38.2,142.6,36.4,94.0,28.2,26.8,64.4,80.8
54.0,44.8,54.4,18.0,90.4,78.0,61.6,76.8,35.6,125.2,26.6,72.0,73.8,41.2,57.6,108.4,65.0,59.6,44.4,66.8
32.4,113.0,130.4,102.0,41.2,81.2,94.2,77.8,53.4,29.2,79.0,78.4,112.2,30.0,37.2,65.0,46.4,32.4,71.2,46.0
144.2,81.0,60.6,134.6,88.0,35.6,68.0,75.2,42.0,50.0,133.0,76.6,23.2,20.8,50.4,80.4,102.6,78.2,81.8,71.0
53.2,112.4,82.4,167.0,77.8,68.4,104.6,114.6,103.6,37.2,97.6,36.0,108.4,40.6,106.4,63.4,36.0,139.2,80.8,80.4
94.0,65.2,20.0,113.0,86.8,158.2,114.2,98.4,85.8,162.4,62.8,41.6,58.4,35.2,38.8,103.6,155.4,81.0,136.0,37.8
156.8,19.2,67.2,71.2,120.0,99.4,10.0,10.0,45.2,25.6,66.4,121.2,68.4,44.0,30.0,50.8,75.6,105.8,203.6,16.4
70.0,36.8,56.4,67.8,107.6,102.4,136.0,114.8,93.4,68.8,30.4,44.4,54.0,42.4,51.2,37.2,192.2,77.0,43.6,111.6
30.8,40.8,11.6,20.0,94.4,107.6,108.0,105.4,30.0,30.0,245.2,88.0,30.8,104.8,47.6,53.2,23.2,83.4,82.6,30.2
87.6,71.4,70.6,63.6,123.0,187.8,11.6,42.0,72.4,102.0,67.2,166.6,52.0,111.2,14.8,6.4,57.8,45.2,90.4,32.8
20.0,130.4,65.2,43.6,22.8,23.2,31.0,114.8,117.0,99.0,50.0,30.0,30.0,106.4,121.8,120.4,210.0,20.8,20.0,94.4
136.0,169.2,26.4,118.2,36.6,110.4,26.4,81.2,19.6,107.8,21.2,32.4,30.8,105.2,112.6,50.0,48.8,61.2,174.6,122.0
