63.8,40.8,14.8,10.0,40.0,24.2,56.6,40.0,23.4,60.0,20.0,36.2,58.8,71.6,40.0,83.0,8.0,41.4,41.0,27.6,78.0,41.0,0.0,10.0,20.0,47.2,40.2,30.0,20.0,21.0,54.8,62.4,96.6,0.0,68.0,30.0,83.8,34.8,99.2,40.0
31.4,75.6,57.2,30.8,18.0,33.2,1.6,23.2,11.6,1.0,43.2,30.2,65.2,49.8,23.4,84.4,37.2,30.0,41.2,49.2,37.2,60.8,21.6,62.2,17.6,25.8,60.0,10.8,61.8,40.2,97.4,20.0,61.2,17.0,44.0,64.8,68.8,10.0,30.0,10.0
27.0,68.0,30.0,18.8,35.4,10.0,32.8,26.0,84.4,114.0,41.2,40.0,24.4,32.8,30.0,40.0,23.2,24.4,43.2,170.8,22.0,50.2,42.4,20.0,49.6,64.8,0.2,60.0,3.2,20.0,53.2,41.6,112.0,46.8,30.0,30.0,80.6,57.2,94.0,49.4
47.8,103.0,63.2,67.8,37.4,33.2,50.0,24.0,81.6,20.0,85.4,82.4,40.0,2.4,30.0,98.0,1.6,37.4,20.0,26.4,49.2,33.2,60.0,46.0,53.2,28.0,49.6,20.0,83.4,30.8,20.0,47.8,176.4,69.6,57.2,10.0,74.8,24.4,1.6,54.0
20.0,56.8,34.8,146.6,32.8,42.4,69.2,48.0,20.4,52.6,154.0,73.6,20.0,47.0,17.6,35.6,30.0,89.4,36.0,55.0,44.8,50.0,23.2,33.6,40.0,23.6,42.8,50.0,40.0,17.2,60.0,17.2,60.0,84.6,30.0,7.0,44.8,10.0,61.6,0.0
40.0,30.0,2.4,40.0,40.0,110.8,50.0,59.8,106.6,12.0,30.8,48.4,24.8,47.2,69.8,32.8,26.4,36.8,56.0,50.0,73.2,50.8,55.2,50.2,40.0,71.2,22.0,31.6,88.8,124.4,4.0,20.0,20.8,50.0,121.6,22.4,97.2,66.0,35.2,48.6
67.0,132.6,109.8,26.0,56.0,30.0,30.8,10.0,10.0,71.2,36.6,40.0,20.0,46.0,63.2,40.0,70.4,126.2,30.0,54.8,40.0,10.8,65.8,10.0,46.4,35.6,70.8,10.0,27.2,40.0,68.2,54.0,40.8,54.0,68.2,36.8,80.0,30.0,50.0,30.0
57.8,104.2,74.6,45.4,63.6,40.0,44.8,16.0,34.0,30.0,26.0,50.0,20.8,60.2,47.2,20.0,71.0,14.0,88.6,11.6,70.0,63.2,39.2,50.0,77.4,92.2,52.4,41.6,64.0,52.8,51.6,58.0,37.2,26.4,43.0,30.0,38.4,10.0,20.0,30.0
0.0,27.6,62.8,68.4,65.6,45.0,116.6,52.8,33.8,49.6,48.0,40.0,37.2,70.0,59.6,61.0,50.4,10.0,75.6,73.0,20.0,62.2,30.8,20.0,30.0,24.8,55.0,25.6,13.6,50.4,0.0,38.8,15.6,50.0,48.8,0.0,10.0,139.6,30.0,47.6
80.0,94.4,50.0,77.8,50.8,37.6,38.8,73.6,31.0,81.2,26.4,44.0,73.2,30.0,30.8,40.0,58.4,47.6,37.2,40.6,67.8,50.0,60.0,30.0,96.0,56.0,30.0,10.0,45.6,26.4,40.0,52.8,42.4,10.8,82.0,20.0,0.0,40.0,25.2,19.2
0.0,62.0,27.2,50.0,50.0,74.8,84.4,69.8,34.8,117.8,41.6,83.8,10.0,51.6,31.8,0.8,36.4,50.0,185.4,52.6,10.0,30.8,20.0,60.0,39.2,30.0,20.0,33.2,12.4,20.2,97.0,50.0,101.2,40.2,20.0,44.0,59.6,30.0,50.0,85.4
73.0,37.2,50.0,64.8,36.0,10.0,67.0,10.0,61.0,46.0,55.8,3.2,62.4,6.4,61.8,30.0,34.0,31.6,52.2,40.0,40.0,40.8,66.0,20.0,4.0,40.8,57.0,33.2,30.0,40.0,40.0,80.8,106.2,60.0,30.0,60.0,60.0,10.0,53.4,20.0
21.4,40.0,95.4,63.2,20.0,14.0,88.0,48.4,31.2,20.8,35.6,28.6,48.6,63.6,85.2,54.4,67.2,24.8,28.8,22.0,38.2,23.4,40.0,50.4,98.2,50.0,40.0,10.0,72.2,30.0,51.8,10.0,20.0,32.8,80.8,13.2,40.0,50.0,45.4,65.2
